TURBO1		255 255 255
TURBO3		255 255 255
bulb			255 255 255
bulb01		255 255 255
bulb02		255 255 255
en_road1		255 255 255
en_roadc		255 255 255
en_roadt		255 255 255
en_roadx		255 255 255
en_win1		255 255 255
en_win2		255 255 255
en_wim3		255 255 255
en_win4		255 255 255
en_win5		255 255 255
flame			255 255 255
glow01		255 255 255
gunend		255 255 255
home01		255 255 255
lpad02		255 255 255
neon01		255 255 255
neon02		255 255 255
neon03		255 255 255
night01		255 255 255
oillev01		255 255 255
p_flame		255 255 255
pe			255 255 255
police02		255 255 255
pray01		255 255 255
rl_top		255 255 255
rockmet		255 255 255
rockpnl2		255 255 255
rpanlflm		255 255 255
shp02			255 255 255
silc03		255 255 255
silc1			255 255 255
silv08		255 255 255
silvcit1		255 255 255
silvcit2		255 255 255
silvcit3		255 255 255
silvcit4		255 255 255
silvcit5		255 255 255
silvcity		255 255 255
silvlite		255 255 255
turbo1		255 255 255
blob01		255 255 255
blob02		255 255 255
blob03		255 255 255
bomb01		255 255 255
gg			255 255 255
laser01		255 255 255
laser02		255 255 255
misl01		255 255 255
open01		255 255 255
shut01		255 255 255
skull			255 255 255
thung			255 255 255
arow			190 190 190
arow02		190 190 190
body2			190 190 190
brij01		190 190 190
chimint		190 190 190
en_pan1		190 190 190
cabin01		255 255 255 
p02			190 190 190
p01			190 190 190
p03			190 190 190
shlite		255 255 255
twrpipe1		230 230 230
twrjn			220 220 220
rsandej2		200 200 200
st_01			100 100 100
twr01			180 180 180
twrlite		170 170 170
twr03			100 100 100
chk01			255 255 255
gun01			255 255 255
bod01			255 255 255
gun			255 255 255
raq_junk		255 255 255
playrq		255 255 255
player 		255 255 255
pisswee		255 255 255
shield		255 255 255
bod			255 255 255
blue01		255 255 255
green01		255 255 255
pink01		511 511 511
pink			500 500 500
chek2			255 255 255
pwrchk		255 255 255
hwy			255 255 255
hwy_a			255 255 255
hwy_c			255 255 255
hwy_t			255 255 255
bark01		255 255 255
bark02		255 255 255
bark03		255 255 255
barkswp		255 255 255
swamp01		255 255 255
swamp02		255 255 255
swamp03		255 255 255
brij01		255 255 255
brij02		255 255 255
leaf01		255 255 255
leaf02		255 255 255
NULL			80 80 80			


Format:

Texture name (no extension)		R G B (material colour to use)

NULL line ends the file (colour for NULL is the default to use for all other textures)
